,href,点赞用户数,评分,参与评分人数,热度,总计评论数,演员,信息,剧情
0,http://www.iqiyi.com/v_19rrhoipqg.html,2.0万,8.8,27.8万人评分,4021,全部评论(2135),张赫;秀爱;朴孝珠;车仁表;李相烨,流感;导演： 金成洙;地区： 韩国;类型： 惊悚;首映： 2013,简介：一群东南亚偷渡客历经艰险来到韩国，但是整个集装箱内的偷渡客几乎全部死亡，只有一人拖着羸弱的身体侥幸逃入闹市之中。殊不知此人身上携带致命猪流感病毒，短短一天时间，病毒迅速蔓延城市的各个角落。许多人在不知不觉间被感染，进而将死亡的阴影引向周围所有的人。美丽的女医生金仁海是一位单身妈妈，她不久前遭遇一场车祸，幸被消防队救援人员姜智久救出，却因丢失重要论文资料而备受上司苛责。...收起>
1,http://www.iqiyi.com/v_19rr7p31qg.html,2.0万,8.1,29.5万人评分,4562,全部评论(1127),巩俐饰 菊豆,菊豆;导演： 张艺谋;地区： 华语;类型： 家庭;首映： 1990,简介：杨天青的叔叔杨金山，是个有生理缺陷的染坊主，在折磨死两房太太后，为续香火，他又花大价钱买了个年轻漂亮的女人菊豆，对其百般虐待。年近四十而尚未娶亲的天青，对因叔叔每夜滥施淫威而痛苦哀叫的菊豆由怜生爱，两人私通，生得一子。金山喜出望外，以为己出，取名天白。但不久金山中风，半身不遂，菊豆与天青更加肆无忌惮，得知真相的金山想要报复，后却误坠染池丧命。按家族的规矩，天青要搬出染...收起>
2,http://www.iqiyi.com/v_19rrj52998.html,3828,9.0,52.8万人评分,2596,全部评论(2657),周星驰饰 Leon;莫文蔚饰 群,回魂夜;导演： 刘镇伟;地区： 香港地区;类型： 惊悚;首映： 1995,简介：一场阴差阳错的谋杀案，牵连了一栋大厦里多个无辜的人。失恋女在七月半被男友抛弃，于是把自己关在房里，不断往楼下扔东西发泄。两个心怀鬼胎的保安也在此时酝酿打劫大厦的计划。一对夫妇突然间不见了儿子，遂请求保安队长帮忙。队长进入二人家中却发现了另一桩与死去老妇有关的凶案。而此时失恋女发现了站在楼道口对着一盆花说话的神秘黑衣人。队长发现了夫妇谋杀老母亲的事实，遂被追杀。而此时...收起>
3,http://www.iqiyi.com/v_19rrg0bus0.html,2.7万,8.8,211.4万人评分,2434,全部评论(1.1万),陈思诚饰 妇科医生章开;包贝尔饰 傻弟弟,一路顺疯;导演： 叶伟民;地区： 华语;类型： 喜剧;首映： 2013,简介：医术精湛的妇产科医生章开风流倜傥，颇有“女人缘”，对男女之事素来抱着“只求开心，不求结果”的不负责心态，是典型的一名“高富帅渣男”。某天一封携带B超化验单的神秘邮件，让在花丛中来去自如的章医生从此“一蹶不振”。为了能让自己“重振雄风”，章开决定要找到这个女人和自己的孩子，而一心寻找初恋情人的弟弟更成了他一路上无法甩开的麻烦制造源，这趟注定波折不断的旅程将奔向怎样的终点...收起>
4,http://www.iqiyi.com/v_19rw1u18xg.html,1.3万,6.2,10.6万人评分,4809,全部评论(1418),陈虎饰 巍然;郭晓峰饰 王参谋;郑沛琳饰 沈清;史洪波饰 慧强;吴潇娜饰 玛雅,特种兵王3之战天娇;导演： 李成龙;地区： 华语;类型： 枪战;首映： 2020,简介：影片主要讲述了安保人员李健被某国际贩毒组织以为是扫毒人员而准备将其杀害，安保组织得知消息后派沈清成立安保青峰小组，解救李健，经过周密计划，沈清打入毒贩内部，与当地警方里应外合，最终剿灭毒贩集团，成功解救李健。收起>
5,http://www.iqiyi.com/v_19rvxgce5s.html,2.2万,7.9,36.6万人评分,4602,全部评论(7831),于震饰 宋慈;潘长江饰 知县;许梦圆饰 雨墨,法医宋慈;导演： 胡国瀚;地区： 华语;类型： 犯罪;首映： 2020,简介：影片讲述了一夜之间二十七具尸体被悬挂当街，且都被抽去了骨头，死相诡谲。向来不信邪的宋慈以一种追求极致真相的态度与女助手雨墨深入调查。通过对死者关系网的盘查，宋慈发现这与十年前的波旬教案有关，他向恩师耿知年请教，谁知当天二十七具尸体就在府衙中自燃，虽灰飞烟灭却有迹可寻，宋慈不得不怀疑这一切正和当年负责波旬教案的耿知年有关。然而，就当宋慈觉得无限接近真相时，一个线索的出现...收起>
6,http://www.iqiyi.com/v_19rwftc3j8.html,2.3万,7.3,48.6万人评分,3647,全部评论(3156),彭禺厶饰 李纯洪;潘霜霜饰 青嫣,九指神丐;导演： 秦向飞;地区： 华语;类型： 奇幻;首映： 2020,简介：故事发生在南宋、金、西夏并立的乱世，身为西夏七皇子的李纯洪（洪七公）因为被一位世外高人预言将会成为兼济天下、继承大统的最佳人选，因而被父皇李仁孝派到南宋学习汉民族文化，但是却遭到大哥李纯霸暗中派人刺杀，李纯洪死里逃生，被逍遥派掌门虚竹和其弟子青嫣所救，但因负伤失去记忆，只记得乳名洪七，后来在经历与青嫣相爱被逐出师门，寻找青嫣身入丐帮、与青嫣重逢成为南宋驸马，恢复记忆后...收起>
7,http://www.iqiyi.com/v_19ruzyr10c.html,2.7万,8.2,64.8万人评分,4996,全部评论(4921),白百何饰 白树瑾;张子枫饰 小女孩;魏大勋饰 仲要;许娣饰 白母;李建义饰 白父,亲爱的新年好;导演： 彭宥纶;地区： 华语;类型： 爱情;首映： 2019,简介：离乡打拼的白树瑾早年间为了有个更好的生活，放弃了向往的图书行业，转行成为地产经纪，不想工作成果惨淡，职场遭遇劲敌。到北京的第十个年头，白树瑾屡遭挫折，面临事业停滞、情路不顺、房租暴涨、母亲病情加重等多重打击，此时初到大城市打工的合租室友女孩、突然闯入她的生活，在这个女孩的身上白树瑾似乎找到了十年前的自我，同时她也遇见了小七岁的同事仲要，渐渐地她开始有了变化……收起>
8,http://www.iqiyi.com/v_19rw1cqdm4.html,1.1万,7.8,2.9万人评分,2918,全部评论(1048),王宁饰 叶开;叶逢春饰 吴为;梁家仁饰 李老大;袁祥仁饰 故事老人;马朋饰 傻子,雾隐怪客;导演： 张敬松;地区： 华语;类型： 奇幻;首映： 2020,简介：因为尘封在一所民居下的哥窑遗址，高学历盗墓贼叶开，改头换面潜入农民吴为家，贪吃蛇遇上善良农夫，上演了一场好玩的夺宝故事。从活人家里偷东西，谋财必然离不开害命，盗此一游，金钱VS良知，杀人还是救人，叶开面临着人性的考验。收起>
9,http://www.iqiyi.com/v_19rv62nbf8.html,5.3万,8.6,129.1万人评分,4175,全部评论(8214),任素汐饰 莫默;吴昱翰饰 孙同;刘迅饰 郑多多;汤敏饰 高璐,半个喜剧;导演： 周申 / 刘露;类型： 喜剧;首映： 2019,简介：三个自由浪漫的年轻人，过着各怀心思的人生：有人急着摆脱单身，有人想在结婚前放荡一番，有人想在大城市站稳脚跟。因为一次情感出轨，三人扭结成了一团“嬉笑怒骂”的乱麻。当各种价值观碰撞在一起，当一个人需要平衡亲情友情与爱情......他们慌乱的生活，就像是半个喜剧。收起>
